Run,Sample,Layout
SRR1553416,EM095B,PE
SRR1553417,EM095,PE
SRR1553418,EM096,PE
SRR1553419,EM096,PE
SRR1553420,EM098,PE
SRR1553421,EM104,PE
SRR1553422,EM104,PE
SRR1553423,EM106,PE
SRR1553424,EM106,PE
SRR1553425,EM110,PE
SRR1553426,EM110,PE
SRR1553427,EM111,PE
SRR1553428,EM111,PE
SRR1553429,EM112,PE
SRR1553430,EM112,PE
SRR1553431,EM113,PE
SRR1553432,EM113,PE
SRR1553433,EM115,PE
SRR1553434,EM115,PE
SRR1553435,EM119,PE
SRR1553436,EM119,PE
SRR1553437,EM120,PE
SRR1553438,EM120,PE
SRR1553439,EM121,PE
SRR1553440,EM121,PE
SRR1553441,EM124.1,PE
SRR1553442,EM124.1,PE
SRR1553443,EM124.2,PE
SRR1553444,EM124.2,PE
SRR1553445,EM124.3,PE
SRR1553446,EM124.3,PE
SRR1553447,EM124.4,PE
SRR1553448,EM124.4,PE
SRR1553449,G3670.1,PE
SRR1553450,G3670.1,PE
SRR1553451,G3676.1,PE
SRR1553452,G3676.1,PE
SRR1553453,G3676.2,PE
SRR1553454,G3676.2,PE
SRR1553455,G3677.1,PE
SRR1553456,G3677.1,PE
SRR1553457,G3677.2,PE
SRR1553458,G3677.2,PE
SRR1553459,G3679.1,PE
SRR1553460,G3679.1,PE
SRR1553461,G3680.1,PE
SRR1553462,G3680.1,PE
SRR1553463,G3682.1,PE
SRR1553464,G3682.1,PE
SRR1553465,G3683.1,PE
SRR1553466,G3683.1,PE
SRR1553467,G3686.1,PE
SRR1553468,G3686.1,PE
SRR1553469,G3687.1,PE
SRR1553470,G3687.1,PE
SRR1553471,G3707,PE
SRR1553472,G3707,PE
SRR1553473,G3713.2,PE
SRR1553474,G3713.2,PE
SRR1553475,G3713.3,PE
SRR1553476,G3713.3,PE
SRR1553477,G3713.4,PE
SRR1553478,G3713.4,PE
SRR1553479,G3724,PE
SRR1553480,G3724,PE
SRR1553481,G3729,PE
SRR1553482,G3729,PE
SRR1553483,G3734.1,PE
SRR1553484,G3734.1,PE
SRR1553485,G3735.1,PE
SRR1553486,G3735.1,PE
SRR1553487,G3735.2,PE
SRR1553488,G3735.2,PE
SRR1553489,G3750.1,PE
SRR1553490,G3750.1,PE
SRR1553491,G3750.2,PE
SRR1553492,G3750.2,PE
SRR1553493,G3750.3,PE
SRR1553494,G3750.3,PE
SRR1553495,G3752,PE
SRR1553496,G3752,PE
SRR1553497,G3758,PE
SRR1553498,G3758,PE
SRR1553499,G3764,PE
